id,cod_pcia,nom_pcia,cod_depto,nom_depto,cod_ase,nombre,tipo,cod_aglo,nom_aglo,cod_agl,nom_agl,lat_gd,long_gd,lat_gs,long_gs,fuente
780,"06",Buenos Aires,"06021",Alberti,06021A06,Palantelén,Paraje,,,"060021",Alberti,"-35.167391","-60.334732","-35º10' 3""","-60º20' 5""",INDEC. ACA
851,"06",Buenos Aires,"06049",Azul,06049A30,Vicente Pereda,Paraje,,,"060049",Azul,"-36.698608","-59.782276","-36º41'55""","-59º46'56""",INDEC. ACA
446,"14",Córdoba,"14014",Capital,"1401401002",La Floresta,Entidad,"0002",Gran Córdoba,"140077",Córdoba,"-31.396847","-64.059869","-31º23'49""","-64º 3'36""",INDEC
572,"50",Mendoza,"50028",Guaymallén,"5002802001",Bermejo,Entidad,"0004",Gran Mendoza,"500028",Guaymallén,"-32.867313","-68.779540","-32º52' 2""","-68º46'46""",INDEC
1324,"06",Buenos Aires,"06231",Daireaux,06231A09,Luro,Paraje,,,"060231",Daireaux,"-36.650001","-62.117106","-36º39' 0""","-62º 7' 2""",IGN. SIG 250
1519,"06",Buenos Aires,"06343",General Paz,06343A10,La Soledad,Paraje,,,"060343",General Paz,"-35.386414","-58.271541","-35º23'11""","-58º16'18""",INDEC. ACA
2267,"06",Buenos Aires,"06686",Rojas,"06686060",Rojas,Localidad simple,"0151",Rojas,"060686",Rojas,"-34.197742","-60.733701","-34º11'52""","-60º44' 1""",INDEC
2509,"06",Buenos Aires,"06798",Tapalqué,06798A00,Altona,Paraje,,,"060798",Tapalqué,"-36.474660","-60.122331","-36º28'29""","-60º 7'20""",Mapa Educativo (GPS)
2608,"06",Buenos Aires,"06833",Tres Arroyos,06833A07,La Curva,Paraje,,,"060833",Tres Arroyos,"-38.757920","-59.986903","-38º45'29""","-59º59'13""",INDEC. ACA
5445,"22",Chaco,"22028",Chacabuco,22028A11,Pampa del Cielo,Paraje,,,"220084",Charata,"-27.156802","-61.140805","-27º 9'24""","-61º 8'27""",INDEC. ACA
6340,"26",Chubut,"26091",Sarmiento,26091A01,Colhué Huapi,Paraje,,,"260140",Sarmiento,"-45.712573","-68.928054","-45º42'45""","-68º55'41""",INDEC. ACA
7144,"34",Formosa,"34028",Matacos,34028A00,Agua Verde,Paraje,,,"340000",sin gobierno local,"-23.675998","-62.310333","-23º40'34""","-62º18'37""",Mapa Educativo
7747,"38",Jujuy,"38084",Susques,38084A01,Archibarca,Paraje,,,"386154",Catua,"-23.625899","-66.847953","-23º37'33""","-66º50'53""",INDEC. ACA
9740,"58",Neuquén,"58091",Pehuenches,58091A04,Chadileu,Paraje,,,"580196",Barrancas,"-36.728605","-70.034777","-36º43'43""","-70º 2' 5""",INDEC. ACA
10473,"66",Salta,"66091",La Poma,66091A17,Muñano,Paraje,,,"660224",La Poma,"-24.290868","-66.151337","-24º17'27""","-66º 9' 5""",INDEC. ACA
11714,"82",Santa Fe,"82007",Belgrano,"82007020",Bouquet,Localidad simple,"1145",Bouquet,"822007",Bouquet,"-32.423632","-61.889736","-32º25'25""","-61º53'23""",INDEC
56,"06",Buenos Aires,"06028",Almirante Brown,"0602801008",Malvinas Argentinas,Entidad,"0001",Gran Buenos Aires,"060028",Almirante Brown,"-34.818755","-58.423388","-34º49' 8""","-58º25'24""",INDEC
